Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
117,8125;-0,121;1,037;1,163;0,207;-0,004;0;;;;;;;
118,625;-0,095;1,025;-1,184;0,205;-0,007;0;;;;;;;
119,4375;-0,144;1,034;2,125;0,206;-0,003;0;;;;;;;
120,25;-0,105;1,029;2,621;0,205;-0,003;0;;;;;;;
121,0625;-0,102;1,003;3,316;0,2;-0,002;0;;;;;;;
121,875;-0,153;0,997;2,978;0,199;0,003;0;;;;;;;
122,6875;-0,115;0,982;-2,194;0,196;0,001;0;;;;;;;
123,5;-0,121;0,977;3,571;0,195;0,004;0;;;;;;;
124,3125;-0,148;0,972;2,166;0,194;0,009;0;;;;;;;
125,125;-0,108;0,964;0,646;0,193;0,007;0;;;;;;;
125,9375;-0,131;0,951;8,411;0,19;0,016;0;;;;;;;
126,75;-0,176;0,893;7,852;0,178;0,023;0;;;;;;;
127,5625;-0,123;0,876;-0,138;0,175;0,02;0;;;;;;;
128,375;-0,173;0,886;0,876;0,177;0,023;0;;;;;;;
129,1875;-0,16;0,884;-2,048;0,176;0,024;0;;;;;;;
130;-0,115;0,892;0,714;0,178;0,021;0;;;;;;;
130,8125;-0,182;0,884;3,543;0,176;0,025;0;;;;;;;
131,625;-0,144;0,892;0,179;0,178;0,023;0;;;;;;;
132,4375;-0,123;0,885;1,538;0,177;0,023;0;;;;;;;
133,25;-0,163;0,875;-0,238;0,175;0,025;0;;;;;;;
134,0625;-0,133;0,886;0,179;0,177;0,023;0;;;;;;;
134,875;-0,111;0,87;1,681;0,174;0,023;0;;;;;;;
135,6875;-0,17;0,883;0,155;0,176;0,025;0;;;;;;;
136,5;-0,125;0,898;-4,777;0,179;0,023;0;;;;;;;
137,3125;-0,138;0,883;0,166;0,176;0,023;0;;;;;;;
138,125;-0,161;0,886;-0,946;0,177;0,026;0;;;;;;;
138,9375;-0,105;0,877;-1,902;0,175;0,022;0;;;;;;;
139,75;-0,13;0,877;0,24;0,175;0,023;0;;;;;;;
140,5625;-0,165;0,882;0,787;0,176;0,026;0;;;;;;;
141,375;-0,108;0,879;-0,523;0,175;0,022;0;;;;;;;
142,1875;-0,146;0,881;1,16;0,176;0,026;0;;;;;;;
143;-0,148;0,876;-0,201;0,175;0,025;0;;;;;;;
143,8125;-0,104;0,877;-0,686;0,175;0,023;0;;;;;;;
144,625;-0,157;0,878;0,647;0,175;0,026;0;;;;;;;
145,4375;-0,127;0,871;-0,609;0,174;0,025;0;;;;;;;
146,25;-0,105;0,887;1,668;0,177;0,024;0;;;;;;;
147,0625;-0,156;0,887;-2,23;0,177;0,025;0;;;;;;;
147,875;-0,122;0,888;-1,596;0,177;0,024;0;;;;;;;
148,6875;-0,099;0,885;-0,029;0,177;0,022;0;;;;;;;
149,5;-0,144;0,877;0,369;0,175;0,026;0;;;;;;;
150,3125;-0,1;0,885;-0,555;0,177;0,023;0;;;;;;;
151,125;-0,112;0,868;0,919;0,173;0,024;0;;;;;;;
151,9375;-0,141;0,88;-2,215;0,176;0,026;0;;;;;;;
152,75;-0,102;0,886;0,902;0,177;0,024;0;;;;;;;
153,5625;-0,118;0,872;0,889;0,174;0,025;0;;;;;;;
154,375;-0,14;0,888;-1,486;0,177;0,025;0;;;;;;;
155,1875;-0,085;0,88;-0,735;0,176;0,023;0;;;;;;;
156;-0,117;0,87;1,304;0,174;0,025;0;;;;;;;
156,8125;-0,138;0,887;0,909;0,177;0,026;0;;;;;;;
157,625;-0,089;0,876;-1,406;0,175;0,022;0;;;;;;;
158,4375;-0,141;0,881;4,705;0,176;0,026;0;;;;;;;
159,25;-0,114;0,87;0,303;0,174;0,026;0;;;;;;;
160,0625;-0,08;0,869;0,689;0,173;0,023;0;;;;;;;
160,875;-0,139;0,873;3,06;0,174;0,027;0;;;;;;;
161,6875;-0,103;0,869;-0,287;0,173;0,026;0;;;;;;;
162,5;-0,074;0,877;-0,774;0,175;0,025;0;;;;;;;
163,3125;-0,138;0,873;1,144;0,174;0,028;0;;;;;;;
164,125;-0,093;0,873;0,456;0,174;0,027;0;;;;;;;
164,9375;-0,089;0,867;0,548;0,173;0,027;0;;;;;;;
165,75;-0,132;0,854;2,195;0,17;0,03;0;;;;;;;
166,5625;-0,076;0,856;0,574;0,171;0,028;0;;;;;;;
167,375;-0,107;0,846;1,698;0,169;0,029;0;;;;;;;
168,1875;-0,134;0,849;0,916;0,17;0,033;0;;;;;;;
169;-0,077;0,846;0,652;0,169;0,03;0;;;;;;;
169,8125;-0,118;0,832;0,238;0,166;0,034;0;;;;;;;
170,625;-0,13;0,828;2,764;0,165;0,036;0;;;;;;;
171,4375;-0,077;0,816;0,87;0,163;0,035;0;;;;;;;
172,25;-0,138;0,807;1,598;0,161;0,038;0;;;;;;;
173,0625;-0,123;0,806;3,329;0,161;0,041;0;;;;;;;
173,875;-0,091;0,789;3,106;0,158;0,04;0;;;;;;;
174,6875;-0,148;0,794;2,969;0,158;0,045;0;;;;;;;
175,5;-0,11;0,776;2,519;0,155;0,044;0;;;;;;;
176,3125;-0,095;0,769;1,013;0,153;0,045;0;;;;;;;
177,125;-0,148;0,768;0,684;0,153;0,05;0;;;;;;;
177,9375;-0,112;0,753;1,77;0,15;0,048;0;;;;;;;
178,75;-0,099;0,762;0,927;0,152;0,047;0;;;;;;;
179,5625;-0,148;0,765;1,643;0,153;0,05;0;;;;;;;
180,375;-0,104;0,753;1,626;0,15;0,049;0;;;;;;;
181,1875;-0,115;0,756;-1,288;0,151;0,05;0;;;;;;;
182;-0,149;0,743;-0,848;0,148;0,053;0;;;;;;;
182,8125;-0,093;0,738;0,883;0,147;0,05;0;;;;;;;
183,625;-0,115;0,741;-0,121;0,148;0,051;0;;;;;;;
184,4375;-0,14;0,744;0,138;0,148;0,054;0;;;;;;;
185,25;-0,102;0,745;-0,729;0,149;0,052;0;;;;;;;
186,0625;-0,139;0,736;-2,859;0,147;0,052;0;;;;;;;
186,875;-0,129;0,74;1,48;0,148;0,054;0;;;;;;;
187,6875;-0,089;0,728;1,465;0,145;0,052;0;;;;;;;
188,5;-0,148;0,727;2,205;0,145;0,055;0;;;;;;;
189,3125;-0,117;0,736;0,08;0,147;0,053;0;;;;;;;
190,125;-0,089;0,72;2,622;0,144;0,053;0;;;;;;;
190,9375;-0,145;0,731;0,681;0,146;0,055;0;;;;;;;
191,75;-0,117;0,733;-1,798;0,146;0,055;0;;;;;;;
192,5625;-0,097;0,72;-2,204;0,144;0,054;0;;;;;;;
193,375;-0,14;0,726;1,05;0,145;0,058;0;;;;;;;
194,1875;-0,086;0,712;0,869;0,142;0,056;0;;;;;;;
195;-0,107;0,715;-0,771;0,143;0,055;0;;;;;;;
195,8125;-0,144;0,722;-0,096;0,144;0,06;0;;;;;;;
196,625;-0,091;0,715;-1,763;0,143;0,056;0;;;;;;;
197,4375;-0,118;0,722;-1,714;0,144;0,057;0;;;;;;;
198,25;-0,136;0,707;0,759;0,141;0,06;0;;;;;;;
199,0625;-0,088;0,705;-0,476;0,141;0,057;0;;;;;;;
199,875;-0,123;0,701;0,166;0,14;0,058;0;;;;;;;
200,6875;-0,132;0,703;0,452;0,14;0,06;0;;;;;;;
201,5;-0,077;0,712;-0,017;0,142;0,057;0;;;;;;;
202,3125;-0,133;0,699;2,428;0,139;0,06;0;;;;;;;
203,125;-0,114;0,703;1,437;0,14;0,062;0;;;;;;;
203,9375;-0,086;0,701;1,361;0,14;0,059;0;;;;;;;
204,75;-0,142;0,69;3,435;0,138;0,062;0;;;;;;;
205,5625;-0,106;0,696;0,439;0,139;0,061;0;;;;;;;
206,375;-0,086;0,681;2,205;0,136;0,062;0;;;;;;;
207,1875;-0,134;0,698;0,737;0,139;0,063;0;;;;;;;
208;-0,086;0,704;-1,504;0,141;0,061;0;;;;;;;
208,8125;-0,102;0,684;0,209;0,137;0,061;0;;;;;;;
209,625;-0,129;0,69;0,409;0,138;0,065;0;;;;;;;
210,4375;-0,084;0,678;1,248;0,135;0,064;0;;;;;;;
211,25;-0,114;0,676;-0,161;0,135;0,064;0;;;;;;;
212,0625;-0,131;0,684;1,181;0,137;0,066;0;;;;;;;
212,875;-0,083;0,669;0,278;0,134;0,064;0;;;;;;;
213,6875;-0,112;0,674;2,207;0,135;0,067;0;;;;;;;
214,5;-0,127;0,658;1,497;0,131;0,069;0;;;;;;;
215,3125;-0,093;0,66;-0,509;0,132;0,066;0;;;;;;;
216,125;-0,136;0,652;2,83;0,13;0,069;0;;;;;;;
216,9375;-0,119;0,651;-0,88;0,13;0,071;0;;;;;;;
217,75;-0,084;0,658;0,316;0,131;0,068;0;;;;;;;
218,5625;-0,139;0,649;0,434;0,129;0,072;0;;;;;;;
219,375;-0,11;0,653;-1,328;0,13;0,071;0;;;;;;;
220,1875;-0,077;0,647;1,752;0,129;0,07;0;;;;;;;
221;-0,14;0,636;0,598;0,127;0,074;0;;;;;;;
221,8125;-0,105;0,641;0,22;0,128;0,073;0;;;;;;;
222,625;-0,1;0,626;-0,626;0,125;0,074;0;;;;;;;
223,4375;-0,137;0,628;0,473;0,125;0,076;0;;;;;;;
224,25;-0,084;0,63;0,867;0,126;0,074;0;;;;;;;
225,0625;-0,114;0,616;1,507;0,123;0,076;0;;;;;;;
225,875;-0,14;0,62;0,147;0,124;0,078;0;;;;;;;
226,6875;-0,081;0,603;2,67;0,12;0,077;0;;;;;;;
227,5;-0,114;0,606;-0,166;0,121;0,078;0;;;;;;;
228,3125;-0,144;0,614;0,487;0,123;0,079;0;;;;;;;
229,125;-0,088;0,603;0,971;0,12;0,078;0;;;;;;;
229,9375;-0,138;0,61;0,72;0,122;0,081;0;;;;;;;
230,75;-0,118;0,594;0,714;0,119;0,082;0;;;;;;;
231,5625;-0,091;0,589;-0,585;0,118;0,08;0;;;;;;;
232,375;-0,139;0,59;-0,806;0,118;0,083;0;;;;;;;
233,1875;-0,112;0,579;1,388;0,116;0,084;0;;;;;;;
234;-0,093;0,588;0,431;0,117;0,084;0;;;;;;;
234,8125;-0,148;0,574;2,862;0,115;0,088;0;;;;;;;
235,625;-0,111;0,556;4,045;0,111;0,091;0;;;;;;;
236,4375;-0,123;0,399;63,204;0,08;0,13;0;;;;;;;
237,25;-0,316;0,085;82,242;0,017;0,197;0;;;;;;;
238,0625;-0,566;-0,195;63,498;-0,039;0,252;0;;;;;;;
238,875;-0,712;-0,343;6,103;-0,069;0,266;0;;;;;;;
239,6875;-0,646;-0,269;-27,811;-0,054;0,252;0;;;;;;;
240,5;-0,398;-0,144;-30,081;-0,029;0,226;0;;;;;;;
241,3125;-0,274;-0,099;-13,969;-0,02;0,215;0;;;;;;;
242,125;-0,261;-0,03;-7,314;-0,006;0,209;0;;;;;;;
242,9375;-0,236;-0,045;0,739;-0,009;0,207;0;;;;;;;
243,75;-0,302;-0,051;0,774;-0,01;0,211;0;;;;;;;
244,5625;-0,307;-0,037;-1,497;-0,007;0,21;0;;;;;;;
245,375;-0,289;-0,046;-0,473;-0,009;0,208;0;;;;;;;
246,1875;-0,351;-0,037;0,174;-0,007;0,21;0;;;;;;;
247;-0,326;-0,032;-3,159;-0,006;0,206;0;;;;;;;
247,8125;-0,259;-0,02;-3,033;-0,004;0,2;0;;;;;;;
248,625;-0,318;-0,002;-0,431;0;0,202;0;;;;;;;
249,4375;-0,295;-0,016;2,032;-0,003;0,201;0;;;;;;;
250,25;-0,272;0,007;-3,179;0,001;0,197;0;;;;;;;
251,0625;-0,326;0,016;-0,045;0,003;0,201;0;;;;;;;
251,875;-0,284;0,017;-0,881;0,003;0,197;0;;;;;;;
252,6875;-0,291;0,015;-1,665;0,003;0,198;0;;;;;;;
253,5;-0,321;0,005;0,236;0,001;0,198;0;;;;;;;
254,3125;-0,291;0,004;-1,456;0,001;0,196;0;;;;;;;
255,125;-0,297;0,005;1,736;0,001;0,197;0;;;;;;;
255,9375;-0,322;0,013;1,022;0,003;0,198;0;;;;;;;
256,75;-0,265;0,033;0,935;0,007;0,194;0;;;;;;;
257,5625;-0,314;0,019;2,864;0,004;0,196;0;;;;;;;
258,375;-0,318;0,038;-0,215;0,008;0,196;0;;;;;;;
259,1875;-0,278;0,026;-0,241;0,005;0,193;0;;;;;;;
260;-0,329;0,019;0,189;0,004;0,195;0;;;;;;;
260,8125;-0,308;0,03;1,039;0,006;0,196;0;;;;;;;
261,625;-0,259;0,021;0,903;0,004;0,192;0;;;;;;;
262,4375;-0,321;0,038;0,67;0,008;0,196;0;;;;;;;
263,25;-0,299;0,037;-2,075;0,007;0,194;0;;;;;;;
264,0625;-0,272;0,023;-0,502;0,005;0,192;0;;;;;;;
264,875;-0,325;0,044;-1,878;0,009;0,194;0;;;;;;;
265,6875;-0,283;0,029;-1,417;0,006;0,191;0;;;;;;;
266,5;-0,282;0,038;-1,116;0,008;0,191;0;;;;;;;
267,3125;-0,314;0,043;0,941;0,009;0,194;0;;;;;;;
268,125;-0,27;0,045;-1,058;0,009;0,19;0;;;;;;;
268,9375;-0,291;0,045;2,039;0,009;0,191;0;;;;;;;
269,75;-0,317;0,032;-0,724;0,006;0,193;0;;;;;;;
270,5625;-0,28;0,037;-0,707;0,007;0,189;0;;;;;;;
271,375;-0,3;0,041;-2,998;0,008;0,191;0;;;;;;;
272,1875;-0,314;0,04;-0,749;0,008;0,192;0;;;;;;;
273;-0,269;0,057;0,952;0,011;0,189;0;;;;;;;
273,8125;-0,31;0,043;-2,319;0,009;0,192;0;;;;;;;
274,625;-0,289;0,054;1,189;0,011;0,191;0;;;;;;;
275,4375;-0,263;0,046;-0,883;0,009;0,188;0;;;;;;;
276,25;-0,311;0,036;-0,315;0,007;0,192;0;;;;;;;
277,0625;-0,299;0,053;1,149;0,011;0,192;0;;;;;;;
277,875;-0,259;0,038;0,495;0,008;0,19;0;;;;;;;
278,6875;-0,311;0,054;-0,118;0,011;0,192;0;;;;;;;
