Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
120,625;-0,955;-84,1;-91,247;-0,178;0,933;0;;;;;;;
121,25;-0,899;-79,761;-88,749;-0,171;0,873;0;;;;;;;
121,875;-0,921;-76,853;-87,13;-0,163;0,823;0;;;;;;;
122,5;-0,875;-72,505;-86,032;-0,154;0,767;0;;;;;;;
123,125;-0,88;-69,592;-81,505;-0,146;0,717;0;;;;;;;
123,75;-0,861;-65,23;-80,005;-0,134;0,667;0;;;;;;;
124,375;-0,801;-62,318;-76,788;-0,125;0,617;0;;;;;;;
125;-0,806;-57,934;-74,289;-0,11;0,573;0;;;;;;;
125,625;-0,749;-55,023;-72,269;-0,101;0,525;0;;;;;;;
126,25;-0,768;-50,631;-69,677;-0,084;0,486;0;;;;;;;
126,875;-0,712;-47,721;-68,328;-0,075;0,441;0;;;;;;;
127,5;-0,708;-43,323;-63,889;-0,057;0,403;0;;;;;;;
128,125;-0,68;-40,411;-59,548;-0,048;0,365;0;;;;;;;
128,75;-0,613;-36,015;-58,254;-0,03;0,327;0;;;;;;;
129,375;-0,634;-33,084;-54,348;-0,017;0,297;0;;;;;;;
130;-0,556;-28,711;-49,889;-0,004;0,261;0;;;;;;;
130,625;-0,589;-25,778;-46,323;0,009;0,236;0;;;;;;;
131,25;-0,521;-21,41;-41,569;0,022;0,206;0;;;;;;;
131,875;-0,52;-18,479;-41,665;0,034;0,182;0;;;;;;;
132,5;-0,496;-14,088;-37,319;0,052;0,161;0;;;;;;;
133,125;-0,442;-11,176;-31,549;0,06;0,139;0;;;;;;;
133,75;-0,47;-6,781;-29,551;0,078;0,124;0;;;;;;;
134,375;-0,398;-3,868;-23,721;0,087;0,106;0;;;;;;;
135;-0,431;0,525;-19,074;0,105;0,095;0;;;;;;;
135,625;-0,295;0,575;-18,301;0,115;0,081;0;;;;;;;
136,25;-0,287;0,633;-11,664;0,126;0,073;0;;;;;;;
136,875;-0,303;0,647;-1,342;0,129;0,074;0;;;;;;;
137,5;-0,293;0,632;2,599;0,126;0,073;0;;;;;;;
138,125;-0,365;0,64;0,045;0,128;0,076;0;;;;;;;
138,75;-0,323;0,629;-2,52;0,126;0,072;0;;;;;;;
139,375;-0,38;0,636;-1,548;0,127;0,073;0;;;;;;;
140;-0,351;0,644;-3,207;0,129;0,07;0;;;;;;;
140,625;-0,348;0,655;-4,942;0,131;0,067;0;;;;;;;
141,25;-0,363;0,664;-0,073;0,133;0,068;0;;;;;;;
141,875;-0,296;0,671;-3,576;0,134;0,06;0;;;;;;;
142,5;-0,356;0,696;-2,419;0,139;0,064;0;;;;;;;
143,125;-0,288;0,697;-3,284;0,139;0,059;0;;;;;;;
143,75;-0,345;0,703;0,786;0,14;0,061;0;;;;;;;
144,375;-0,337;0,705;0,377;0,141;0,06;0;;;;;;;
145;-0,316;0,704;1,658;0,141;0,06;0;;;;;;;
145,625;-0,368;0,708;-3,398;0,141;0,061;0;;;;;;;
146,25;-0,3;0,701;1,809;0,14;0,057;0;;;;;;;
146,875;-0,353;0,707;-0,341;0,141;0,06;0;;;;;;;
147,5;-0,309;0,697;-0,535;0,139;0,058;0;;;;;;;
148,125;-0,338;0,706;-1,346;0,141;0,058;0;;;;;;;
148,75;-0,314;0,707;0,093;0,141;0,06;0;;;;;;;
149,375;-0,3;0,707;-0,041;0,141;0,056;0;;;;;;;
150;-0,356;0,709;-0,623;0,142;0,059;0;;;;;;;
150,625;-0,3;0,716;-0,603;0,143;0,055;0;;;;;;;
151,25;-0,348;0,718;1,522;0,143;0,059;0;;;;;;;
151,875;-0,296;0,715;-1,057;0,143;0,055;0;;;;;;;
152,5;-0,331;0,724;0,968;0,145;0,058;0;;;;;;;
153,125;-0,342;0,717;0,934;0,143;0,059;0;;;;;;;
153,75;-0,304;0,717;-1,399;0,143;0,056;0;;;;;;;
154,375;-0,341;0,722;1,167;0,144;0,059;0;;;;;;;
155;-0,296;0,708;-0,418;0,141;0,056;0;;;;;;;
155,625;-0,34;0,72;-0,587;0,144;0,058;0;;;;;;;
156,25;-0,31;0,714;-2,385;0,142;0,056;0;;;;;;;
156,875;-0,314;0,706;2,083;0,141;0,057;0;;;;;;;
157,5;-0,341;0,713;-2,011;0,142;0,056;0;;;;;;;
158,125;-0,278;0,708;1,377;0,141;0,056;0;;;;;;;
158,75;-0,34;0,718;-0,87;0,143;0,058;0;;;;;;;
159,375;-0,3;0,716;-2,05;0,143;0,054;0;;;;;;;
160;-0,336;0,727;0,6;0,145;0,057;0;;;;;;;
160,625;-0,312;0,718;-0,584;0,143;0,057;0;;;;;;;
161,25;-0,31;0,723;2,198;0,144;0,057;0;;;;;;;
161,875;-0,321;0,724;0,294;0,145;0,059;0;;;;;;;
162,5;-0,293;0,723;-3,794;0,144;0,054;0;;;;;;;
163,125;-0,325;0,728;-0,297;0,145;0,058;0;;;;;;;
163,75;-0,292;0,709;-0,04;0,141;0,056;0;;;;;;;
164,375;-0,34;0,719;-1,056;0,143;0,057;0;;;;;;;
165;-0,323;0,712;0,684;0,142;0,058;0;;;;;;;
165,625;-0,302;0,709;-0,826;0,141;0,055;0;;;;;;;
166,25;-0,33;0,713;0,378;0,142;0,058;0;;;;;;;
166,875;-0,282;0,701;1,332;0,14;0,057;0;;;;;;;
167,5;-0,338;0,724;-1,51;0,144;0,058;0;;;;;;;
168,125;-0,281;0,711;0,259;0,142;0,055;0;;;;;;;
168,75;-0,328;0,729;-0,234;0,146;0,058;0;;;;;;;
169,375;-0,304;0,715;-0,7;0,143;0,056;0;;;;;;;
170;-0,295;0,725;0,473;0,145;0,056;0;;;;;;;
170,625;-0,326;0,721;2,545;0,144;0,058;0;;;;;;;
171,25;-0,278;0,715;0,148;0,143;0,056;0;;;;;;;
171,875;-0,334;0,726;-2,196;0,145;0,059;0;;;;;;;
172,5;-0,277;0,717;-3,622;0,143;0,055;0;;;;;;;
173,125;-0,308;0,717;0,051;0,143;0,056;0;;;;;;;
173,75;-0,31;0,707;2,634;0,141;0,058;0;;;;;;;
