Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
81,875;1,331;246,001;321,574;0,708;8,437;0;;;;;;;
82,5;1,223;241,39;310,016;0,647;8,632;0;;;;;;;
83,125;1,069;238,353;285,968;0,613;8,811;0;;;;;;;
83,75;1,077;233,891;255,922;0,582;8,972;0;;;;;;;
84,375;1,085;230,985;227,077;0,574;9,115;0;;;;;;;
85;1,224;226,693;208,644;0,577;9,246;0;;;;;;;
85,625;1,39;223,852;202,442;0,582;9,373;0;;;;;;;
86,25;1,49;219,571;208,973;0,587;9,504;0;;;;;;;
86,875;1,601;216,682;223,162;0,583;9,641;0;;;;;;;
87,5;1,529;212,283;235,552;0,564;9,79;0;;;;;;;
88,125;1,516;209,304;243,371;0,542;9,94;0;;;;;;;
88,75;1,353;204,826;246,359;0,507;10,095;0;;;;;;;
89,375;1,228;201,818;247,256;0,48;10,25;0;;;;;;;
90;1,126;197,316;243,449;0,44;10,4;0;;;;;;;
90,625;0,985;194,303;242,944;0,411;10,553;0;;;;;;;
91,25;0,944;189,776;241,005;0,367;10,702;0;;;;;;;
91,875;0,837;186,768;237,637;0,339;10,852;0;;;;;;;
92,5;0,809;182,246;228,034;0,296;10,993;0;;;;;;;
93,125;0,735;179,255;218,699;0,271;11,13;0;;;;;;;
93,75;0,727;174,788;211,493;0,239;11,264;0;;;;;;;
94,375;0,737;171,812;203,828;0,218;11,388;0;;;;;;;
95;0,73;167,384;197,668;0,193;11,516;0;;;;;;;
95,625;0,753;164,422;189,892;0,174;11,632;0;;;;;;;
96,25;0,737;160,01;186,96;0,153;11,751;0;;;;;;;
96,875;0,748;157,066;178,552;0,138;11,863;0;;;;;;;
97,5;0,719;152,657;172,762;0,117;11,97;0;;;;;;;
98,125;0,713;149,728;169,798;0,105;12,078;0;;;;;;;
98,75;0,675;145,339;162,135;0,088;12,176;0;;;;;;;
99,375;0,674;142,43;152,832;0,08;12,275;0;;;;;;;
100;0,662;138,054;147,459;0,066;12,366;0;;;;;;;
100,625;0,672;135,158;139,33;0,06;12,456;0;;;;;;;
101,25;0,691;130,817;133,791;0,053;12,54;0;;;;;;;
101,875;0,693;127,937;127,676;0,051;12,619;0;;;;;;;
102,5;0,731;123,616;124,567;0,047;12,699;0;;;;;;;
103,125;0,723;120,726;124,777;0,043;12,775;0;;;;;;;
103,75;0,759;116,403;119,869;0,039;12,852;0;;;;;;;
104,375;0,738;113,502;119,705;0,033;12,925;0;;;;;;;
105;0,759;109,166;116,211;0,027;12,998;0;;;;;;;
105,625;0,754;106,272;113,313;0,022;13,069;0;;;;;;;
106,25;0,699;101,926;109,5;0,013;13,137;0;;;;;;;
106,875;0,735;99,035;104,612;0,009;13,203;0;;;;;;;
107,5;0,684;94,692;99,865;0,001;13,265;0;;;;;;;
108,125;0,738;91,809;95,278;-0,002;13,325;0;;;;;;;
108,75;0,713;87,479;89,86;-0,007;13,381;0;;;;;;;
109,375;0,728;84,598;87,055;-0,009;13,436;0;;;;;;;
110;0,734;80,271;84,826;-0,014;13,489;0;;;;;;;
110,625;0,688;77,383;81,58;-0,017;13,54;0;;;;;;;
111,25;0,74;73,05;79,294;-0,023;13,59;0;;;;;;;
111,875;0,679;70,159;76,49;-0,028;13,638;0;;;;;;;
112,5;0,705;65,823;72,254;-0,034;13,683;0;;;;;;;
113,125;0,655;62,938;67,021;-0,037;13,725;0;;;;;;;
113,75;0,655;58,608;64,67;-0,042;13,765;0;;;;;;;
114,375;0,662;55,724;59,287;-0,045;13,802;0;;;;;;;
115;0,606;51,397;56,775;-0,05;13,838;0;;;;;;;
115,625;0,666;48,514;51,62;-0,053;13,87;0;;;;;;;
116,25;0,613;44,188;50,849;-0,057;13,902;0;;;;;;;
116,875;0,647;41,3;47,253;-0,061;13,931;0;;;;;;;
117,5;0,603;36,962;45,963;-0,068;13,959;0;;;;;;;
118,125;0,584;34,073;42,853;-0,071;13,987;0;;;;;;;
118,75;0,592;29,734;38,755;-0,078;14,011;0;;;;;;;
119,375;0,53;26,843;35,772;-0,083;14,035;0;;;;;;;
120;0,571;22,491;32,297;-0,092;14,053;0;;;;;;;
120,625;0,522;19,601;33,292;-0,097;14,074;0;;;;;;;
121,25;0,546;15,243;26,614;-0,107;14,091;0;;;;;;;
121,875;0,501;12,34;27,741;-0,114;14,109;0;;;;;;;
122,5;0,473;7,976;23,917;-0,126;14,124;0;;;;;;;
123,125;0,474;5,067;20,716;-0,134;14,136;0;;;;;;;
123,75;0,412;0,71;17,896;-0,145;14,148;0;;;;;;;
124,375;0,393;-0,769;16,317;-0,154;14,155;0;;;;;;;
125;0,308;-0,804;7,773;-0,16;14,162;0;;;;;;;
125,625;0,357;-0,811;1,321;-0,162;14,163;0;;;;;;;
126,25;0,345;-0,805;-3,076;-0,161;14,161;0;;;;;;;
126,875;0,349;-0,801;0,19;-0,16;14,161;0;;;;;;;
127,5;0,417;-0,805;0,543;-0,161;14,16;0;;;;;;;
128,125;0,365;-0,794;-2,117;-0,159;14,161;0;;;;;;;
128,75;0,421;-0,801;-1,151;-0,16;14,159;0;;;;;;;
129,375;0,354;-0,8;1,637;-0,16;14,161;0;;;;;;;
130;0,399;-0,808;-0,691;-0,161;14,16;0;;;;;;;
130,625;0,381;-0,805;-1,443;-0,161;14,16;0;;;;;;;
131,25;0,363;-0,808;0,971;-0,161;14,162;0;;;;;;;
131,875;0,409;-0,812;-1,232;-0,162;14,16;0;;;;;;;
132,5;0,35;-0,803;-0,265;-0,16;14,161;0;;;;;;;
133,125;0,409;-0,81;0,412;-0,162;14,16;0;;;;;;;
133,75;0,364;-0,804;0,39;-0,16;14,161;0;;;;;;;
134,375;0,388;-0,8;0,669;-0,16;14,162;0;;;;;;;
135;0,379;-0,806;0,129;-0,161;14,161;0;;;;;;;
135,625;0,342;-0,805;1,215;-0,161;14,162;0;;;;;;;
