Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
171,25;-0,542;-116,215;-95,663;-0,414;13,29;0;;;;;;;
171,875;-0,542;-120,623;-96,37;-0,429;13,232;0;;;;;;;
172,5;-0,615;-123,552;-100,569;-0,437;13,168;0;;;;;;;
173,125;-0,62;-127,962;-101,342;-0,452;13,105;0;;;;;;;
173,75;-0,658;-130,89;-106,696;-0,46;13,039;0;;;;;;;
174,375;-0,688;-135,313;-106,263;-0,477;12,971;0;;;;;;;
175;-0,712;-138,261;-107,735;-0,489;12,906;0;;;;;;;
175,625;-0,793;-142,689;-108,435;-0,508;12,835;0;;;;;;;
176,25;-0,827;-145,645;-113,292;-0,521;12,767;0;;;;;;;
176,875;-0,903;-150,022;-135,386;-0,529;12,682;0;;;;;;;
177,5;-0,87;-152,9;-157,359;-0,527;12,585;0;;;;;;;
178,125;-0,828;-157,124;-180,296;-0,505;12,479;0;;;;;;;
178,75;-0,777;-160,16;-99,68;-0,534;12,412;0;;;;;;;
179,375;-0,872;-164,622;-117,994;-0,56;12,341;0;;;;;;;
180;-1,034;-167,624;-110,127;-0,582;12,269;0;;;;;;;
180,625;-1,164;-172,166;-111,841;-0,624;12,201;0;;;;;;;
181,25;-1,309;-175,175;-118,365;-0,647;12,125;0;;;;;;;
181,875;-1,394;-179,673;-130,712;-0,68;12,043;0;;;;;;;
182,5;-1,431;-182,644;-140,783;-0,696;11,958;0;;;;;;;
183,125;-1,42;-187,068;-157,641;-0,714;11,857;0;;;;;;;
183,75;-1,407;-190;-164,515;-0,723;11,758;0;;;;;;;
184,375;-1,352;-194,391;-168,404;-0,734;11,649;0;;;;;;;
185;-1,33;-197,318;-170,61;-0,742;11,544;0;;;;;;;
185,625;-1,328;-201,713;-171,508;-0,754;11,436;0;;;;;;;
186,25;-1,371;-204,667;-171,317;-0,767;11,329;0;;;;;;;
186,875;-1,423;-209,094;-171,544;-0,785;11,223;0;;;;;;;
187,5;-1,464;-212,055;-173,591;-0,799;11,111;0;;;;;;;
188,125;-1,563;-216,487;-178,39;-0,819;11,003;0;;;;;;;
188,75;-1,596;-219,434;-185,214;-0,83;10,883;0;;;;;;;
189,375;-1,685;-223,863;-189,633;-0,849;10,767;0;;;;;;;
190;-1,686;-226,789;-196,656;-0,856;10,643;0;;;;;;;
190,625;-1,709;-231,21;-201,175;-0,874;10,517;0;;;;;;;
191,25;-1,754;-234,129;-208,294;-0,879;10,388;0;;;;;;;
191,875;-1,728;-238,497;-221,133;-0,886;10,248;0;;;;;;;
192,5;-1,759;-241,38;-231,54;-0,885;10,106;0;;;;;;;
193,125;-1,643;-245,697;-237,126;-0,881;9,955;0;;;;;;;
193,75;-1,652;-248,583;-237,195;-0,881;9,807;0;;;;;;;
194,375;-1,607;-252,898;-245,194;-0,877;9,656;0;;;;;;;
195;-1,6;-255,758;-257,27;-0,871;9,493;0;;;;;;;
195,625;-1,601;-260;-274,75;-0,852;9,322;0;;;;;;;
196,25;-1,498;-262,164;-296,076;-0,831;9,136;0;;;;;;;
196,875;-1,48;-261,949;-312,537;-0,788;8,943;0;;;;;;;
197,5;-1,31;-261,771;-321,81;-0,753;8,742;0;;;;;;;
198,125;-1,192;-261,512;-317,409;-0,701;8,544;0;;;;;;;
198,75;-1,061;-261,382;-298,411;-0,675;8,357;0;;;;;;;
199,375;-0,962;-261,269;-272,544;-0,653;8,186;0;;;;;;;
200;-1,058;-261,269;-244,231;-0,653;8,032;0;;;;;;;
200,625;-1,171;-261,352;-221,248;-0,669;7,894;0;;;;;;;
201,25;-1,404;-261,445;-213,476;-0,688;7,758;0;;;;;;;
201,875;-1,593;-261,602;-207,428;-0,719;7,629;0;;;;;;;
202,5;-1,745;-261,676;-219,907;-0,734;7,494;0;;;;;;;
203,125;-1,846;-261,789;-225,287;-0,756;7,352;0;;;;;;;
203,75;-1,838;-261,819;-237,283;-0,762;7,207;0;;;;;;;
204,375;-1,862;-261,835;-253,645;-0,766;7,045;0;;;;;;;
205;-1,82;-261,818;-261,535;-0,762;6,886;0;;;;;;;
205,625;-1,719;-261,72;-275,152;-0,743;6,711;0;;;;;;;
206,25;-1,598;-261,664;-273,9;-0,732;6,542;0;;;;;;;
206,875;-1,494;-258,953;-264,822;-0,716;6,377;0;;;;;;;
207,5;-1,465;-256,057;-255,751;-0,711;6,215;0;;;;;;;
208,125;-1,504;-251,727;-245,557;-0,706;6,063;0;;;;;;;
208,75;-1,51;-248,798;-261,124;-0,694;5,898;0;;;;;;;
209,375;-1,547;-244,42;-257,282;-0,679;5,741;0;;;;;;;
210;-1,514;-241,488;-254,073;-0,666;5,581;0;;;;;;;
210,625;-1,547;-237,122;-248,489;-0,654;5,426;0;;;;;;;
211,25;-1,491;-234,178;-248,99;-0,639;5,269;0;;;;;;;
211,875;-1,434;-229,769;-252,393;-0,618;5,109;0;;;;;;;
212,5;-1,371;-226,809;-254,325;-0,6;4,952;0;;;;;;;
