Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
131,625;-0,372;-1,17;-2,25;-0,233;0,434;0;;;;;;;
132,4375;-0,404;-1,169;-3,337;-0,233;0,433;0;;;;;;;
133,25;-0,362;-1,157;-2,689;-0,231;0,427;0;;;;;;;
134,0625;-0,377;-1,136;-0,901;-0,227;0,426;0;;;;;;;
134,875;-0,396;-1,127;-1,286;-0,225;0,426;0;;;;;;;
135,6875;-0,34;-1,099;-2,464;-0,219;0,419;0;;;;;;;
136,5;-0,39;-1,105;1,318;-0,221;0,421;0;;;;;;;
137,3125;-0,386;-1,076;-4,287;-0,215;0,419;0;;;;;;;
138,125;-0,338;-1,082;-1,943;-0,216;0,414;0;;;;;;;
138,9375;-0,393;-1,083;-3,157;-0,216;0,415;0;;;;;;;
139,75;-0,379;-1,066;-1,365;-0,213;0,413;0;;;;;;;
140,5625;-0,333;-1,064;-3,504;-0,212;0,409;0;;;;;;;
141,375;-0,384;-1,042;-1,171;-0,208;0,411;0;;;;;;;
142,1875;-0,357;-1,037;-2,134;-0,207;0,408;0;;;;;;;
143;-0,345;-1,042;-2,591;-0,208;0,406;0;;;;;;;
143,8125;-0,393;-1,03;-0,981;-0,206;0,409;0;;;;;;;
144,625;-0,356;-1,04;0,309;-0,208;0,405;0;;;;;;;
145,4375;-0,36;-1,02;-2,609;-0,204;0,403;0;;;;;;;
146,25;-0,394;-1,007;-2,01;-0,201;0,404;0;;;;;;;
147,0625;-0,355;-1,009;-1,496;-0,201;0,4;0;;;;;;;
147,875;-0,371;-0,992;-2,639;-0,198;0,4;0;;;;;;;
148,6875;-0,387;-1,002;-0,42;-0,2;0,4;0;;;;;;;
149,5;-0,333;-1;-1,278;-0,2;0,396;0;;;;;;;
150,3125;-0,377;-0,993;-1,899;-0,198;0,397;0;;;;;;;
